date,is_promo_period,day_of_week,new_enterpriser_count,new_bee_count,transaction_volume_online,transaction_volume_offline,sales_ep_thousand_idr,top_product_id,new_bee_count_outlier,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,day_of_week_num,day_of_month,month,week_of_year,is_weekend,quarter,promo_lag1,promo_next1,days_since_start
2022-03-31,1,Thursday,239,678,5722,1860,1591591,Herbal D,0,243.0,192.0,163.0,255.0,104.0,136.0,106.0,224.57142857142858,40.36028222092095,206.07142857142858,43.725479784875866,169.2,48.97247643601314,162.83333333333334,54.90875986682233,3,31,3,13,0,1,1.0,0.0,89
2022-04-01,0,Friday,153,435,3364,1555,948263,Skincare B,0,239.0,243.0,192.0,205.0,144.0,150.0,151.0,217.14285714285714,48.52294498972829,206.71428571428572,42.79904486969595,169.63333333333333,48.76225457527951,162.53333333333333,54.8876687405767,4,1,4,13,0,2,1.0,0.0,90
2022-04-02,0,Saturday,167,473,4014,1870,1199173,Skincare B,0,153.0,239.0,243.0,284.0,146.0,185.0,179.0,200.42857142857142,41.26280465042402,208.21428571428572,40.830189757144176,171.66666666666666,47.266181927705865,162.5222222222222,54.886650876551435,5,2,4,13,1,2,0.0,0.0,91
2022-04-03,0,Sunday,124,353,3208,1597,935011,Herbal D,0,167.0,153.0,239.0,246.0,167.0,128.0,164.0,183.0,44.44847203973015,205.14285714285714,45.51729534829789,170.76666666666668,47.92572078376786,162.7888888888889,54.63720888055298,6,3,4,13,1,2,0.0,0.0,92
2022-04-04,0,Monday,89,254,2218,1276,720436,Supplement A,0,124.0,167.0,153.0,163.0,175.0,110.0,110.0,172.42857142857142,57.02004660017141,199.0,54.76242395039762,167.76666666666668,50.15746469238468,162.26666666666668,55.118625902214895,0,4,4,14,0,2,0.0,0.0,93
2022-04-05,0,Tuesday,120,341,2945,1417,834036,Vitamin C,0,89.0,124.0,167.0,192.0,224.0,127.0,137.0,162.14285714285714,59.34764407407309,191.57142857142858,58.06457186180322,166.3,50.909080553066566,161.94444444444446,55.28157974114573,1,5,4,14,0,2,0.0,0.0,94
2022-04-06,0,Wednesday,142,404,2982,1539,952583,Collagen F,0,120.0,89.0,124.0,243.0,202.0,125.0,139.0,147.71428571428572,47.51039986400978,187.28571428571428,59.433775131432064,167.36666666666667,50.01619278023754,162.12222222222223,55.19034025921194,2,6,4,14,0,2,0.0,0.0,95
2022-04-07,0,Thursday,119,338,2478,1390,803013,Probiotic G,0,142.0,120.0,89.0,239.0,255.0,104.0,136.0,130.57142857142858,25.7478616772808,177.57142857142858,58.623589746153215,166.76666666666668,50.49867416035814,161.65555555555557,55.377186945145134,3,7,4,14,0,2,0.0,0.0,96
2022-04-08,0,Friday,156,444,3068,1688,957782,Herbal D,0,119.0,142.0,120.0,153.0,205.0,144.0,150.0,131.0,26.204325342711478,174.07142857142858,58.32200308593704,167.33333333333334,50.27121842862823,161.44444444444446,55.36195730918136,4,8,4,14,0,2,0.0,0.0,97
2022-04-09,0,Saturday,143,407,3414,1828,974334,Skincare B,0,156.0,119.0,142.0,167.0,284.0,146.0,185.0,127.57142857142857,21.930626551751434,164.0,49.365201072446595,167.56666666666666,50.136835748285655,161.14444444444445,55.38822353052736,5,9,4,14,1,2,0.0,0.0,98
2022-04-10,0,Sunday,156,444,3339,1546,972221,Supplement A,0,143.0,156.0,119.0,124.0,246.0,167.0,128.0,132.14285714285714,24.27226518359713,157.57142857142858,43.36023397203819,167.76666666666668,50.07627515434164,161.75555555555556,55.019365561287074,6,10,4,14,1,2,0.0,0.0,99
2022-04-11,0,Monday,108,306,2076,1171,655672,Supplement A,0,156.0,143.0,156.0,89.0,163.0,175.0,110.0,134.85714285714286,19.169668501990195,153.64285714285714,45.27965605818199,165.2,51.124864050067956,161.53333333333333,55.19733750296051,0,11,4,15,0,2,0.0,0.0,100
2022-04-12,0,Tuesday,131,372,2597,1441,753121,Skincare B,0,108.0,156.0,143.0,120.0,192.0,224.0,127.0,136.42857142857142,18.173764450044988,149.28571428571428,44.227434179092256,165.3,51.05247469431617,161.43333333333334,55.24491943695371,1,12,4,15,0,2,0.0,0.0,101
2022-04-13,0,Wednesday,112,317,2765,1572,851673,Collagen F,0,131.0,108.0,156.0,142.0,243.0,202.0,125.0,132.14285714285714,20.078417695198524,139.92857142857142,35.96037196204114,165.36666666666667,50.97902430941798,160.92222222222222,55.48928994298835,2,13,4,15,0,2,0.0,0.0,102
2022-04-14,0,Thursday,140,396,2701,1276,738057,Vitamin C,0,112.0,131.0,108.0,119.0,239.0,255.0,104.0,135.14285714285714,19.34277273668027,132.85714285714286,22.006492548466614,165.8,50.69611969099941,160.7,55.53305524387345,3,14,4,15,0,2,0.0,0.0,103
2022-04-15,0,Friday,159,451,3011,1647,970899,Protein E,0,140.0,112.0,131.0,156.0,153.0,205.0,144.0,135.57142857142858,19.90692628925216,133.28571428571428,22.482227413015636,166.93333333333334,50.12944164401026,160.74444444444444,55.53004270614526,4,15,4,15,0,2,0.0,0.0,104
2022-04-16,0,Saturday,174,495,4242,1700,1102902,Supplement A,0,159.0,140.0,112.0,143.0,167.0,284.0,146.0,140.0,24.704925284917135,133.78571428571428,23.35076533559969,169.26666666666668,48.70809132905477,160.9777777777778,55.54125458880432,5,16,4,15,1,2,0.0,0.0,105
2022-04-17,0,Sunday,127,362,3623,1756,1030287,Protein E,0,174.0,159.0,140.0,156.0,124.0,246.0,167.0,135.85714285714286,23.99603141791426,134.0,23.267673183724618,168.7,49.10941338235085,160.03333333333333,55.38637523613323,6,17,4,15,1,2,0.0,1.0,106
2022-04-18,1,Monday,210,597,4041,1602,1170571,Supplement A,0,127.0,174.0,159.0,108.0,89.0,163.0,175.0,150.42857142857142,33.39090266752886,142.64285714285714,27.376596245297286,170.83333333333334,49.47802252155676,159.86666666666667,55.21097432026769,0,18,4,16,0,2,0.0,1.0,107
2022-04-19,1,Tuesday,258,732,6163,1651,1451609,Skincare B,0,210.0,127.0,174.0,131.0,120.0,192.0,224.0,168.57142857142858,50.95703138546292,152.5,40.36134860901536,173.86666666666667,51.962010880186725,160.34444444444443,55.87549584750675,1,19,4,16,0,2,1.0,1.0,108
2022-04-20,1,Wednesday,246,699,6155,1814,1645203,Supplement A,0,258.0,210.0,127.0,112.0,142.0,243.0,202.0,187.71428571428572,51.33132339911731,159.92857142857142,47.26108219359662,176.23333333333332,53.60628072654671,160.42222222222222,55.99096592013004,2,20,4,16,0,2,1.0,1.0,109
2022-04-21,1,Thursday,247,702,5620,1649,1513219,Probiotic G,0,246.0,258.0,210.0,140.0,119.0,239.0,255.0,203.0,50.68201521907623,169.07142857142858,50.969771261185684,177.0,54.470491853467045,160.6888888888889,56.348363573428166,3,21,4,16,0,2,1.0,1.0,110
2022-04-22,1,Friday,259,735,5184,2317,1563801,Skincare B,0,247.0,246.0,258.0,159.0,156.0,153.0,205.0,217.28571428571428,50.30478534465122,176.42857142857142,56.11213263253712,178.9,56.33480580269702,159.82222222222222,54.16362595902082,4,22,4,16,0,2,1.0,1.0,111
